uniqueId,gameId,playId,team,offenseFormation,playDirection,down,yardsToGo,absoluteYardlineNumber,quarter,gameClock,winningBy,year,playType
2021090900_97,2021090900,97,TB,SHOTGUN,right,3,2,43.0,1,13:33,0,2023,pass
2021090900_137,2021090900,137,DAL,EMPTY,left,1,10,108.0,1,13:18,0,2023,pass
2021090900_187,2021090900,187,DAL,SHOTGUN,left,2,6,76.0,1,12:23,0,2023,pass
2021090900_282,2021090900,282,DAL,SINGLEBACK,left,1,10,49.0,1,09:56,0,2023,pass
2021090900_349,2021090900,349,DAL,SHOTGUN,left,3,15,54.0,1,09:46,0,2023,pass
2021090900_410,2021090900,410,TB,EMPTY,right,2,5,21.0,1,08:53,0,2023,pass
2021090900_434,2021090900,434,TB,SHOTGUN,right,1,10,31.0,1,08:24,0,2023,pass
2021090900_456,2021090900,456,TB,SHOTGUN,right,2,10,31.0,1,08:20,0,2023,pass
2021090900_480,2021090900,480,TB,SHOTGUN,right,1,10,50.0,1,07:53,0,2023,pass
2021090900_509,2021090900,509,TB,SHOTGUN,right,1,10,78.0,1,07:30,0,2023,pass
2021090900_559,2021090900,559,TB,SHOTGUN,right,2,7,97.0,1,06:13,0,2023,pass
2021090900_583,2021090900,583,TB,SHOTGUN,right,1,5,105.0,1,05:26,0,2023,pass
2021090900_687,2021090900,687,DAL,SHOTGUN,left,2,2,66.0,1,04:15,-7,2023,pass
2021090900_735,2021090900,735,DAL,SHOTGUN,left,2,3,47.0,1,02:45,-7,2023,pass
2021090900_764,2021090900,764,DAL,SINGLEBACK,left,1,10,39.0,1,02:22,-7,2023,pass
2021090900_788,2021090900,788,DAL,SHOTGUN,left,2,3,32.0,1,01:43,-7,2023,pass
2021090900_869,2021090900,869,TB,SINGLEBACK,right,2,7,38.0,1,00:59,0,2023,pass
2021090900_925,2021090900,925,TB,SINGLEBACK,right,2,5,70.0,1,00:11,0,2023,pass
2021090900_947,2021090900,947,TB,SHOTGUN,right,3,5,70.0,1,00:05,0,2023,pass
2021090900_1078,2021090900,1078,DAL,SHOTGUN,right,2,8,17.0,2,14:21,0,2023,pass
2021090900_1203,2021090900,1203,TB,SHOTGUN,left,2,8,58.0,2,12:07,0,2023,pass
2021090900_1227,2021090900,1227,TB,SHOTGUN,left,3,3,53.0,2,11:29,0,2023,pass
2021090900_1267,2021090900,1267,TB,SINGLEBACK,left,1,10,34.0,2,11:13,0,2023,pass
2021090900_1312,2021090900,1312,TB,SINGLEBACK,left,2,2,12.0,2,09:53,0,2023,pass
2021090900_1368,2021090900,1368,DAL,SINGLEBACK,right,1,10,35.0,2,09:48,-7,2023,pass
2021090900_1392,2021090900,1392,DAL,EMPTY,right,1,10,57.0,2,09:09,-7,2023,pass
2021090900_1425,2021090900,1425,DAL,SINGLEBACK,right,1,10,71.0,2,09:04,-7,2023,pass
2021090900_1506,2021090900,1506,DAL,SHOTGUN,right,1,10,85.0,2,08:16,-7,2023,pass
2021090900_1563,2021090900,1563,DAL,SHOTGUN,right,2,7,93.0,2,07:27,-7,2023,pass
2021090900_1587,2021090900,1587,DAL,SHOTGUN,right,3,3,97.0,2,06:46,-7,2023,pass
2021090900_1687,2021090900,1687,DAL,SHOTGUN,right,2,8,85.0,2,05:43,-7,2023,pass
2021090900_1726,2021090900,1726,DAL,SHOTGUN,right,3,8,85.0,2,05:37,-7,2023,pass
2021090900_1776,2021090900,1776,DAL,SHOTGUN,right,2,3,105.0,2,04:25,-7,2023,pass
2021090900_1918,2021090900,1918,DAL,SHOTGUN,right,2,6,93.0,2,03:30,-1,2023,pass
2021090900_1940,2021090900,1940,DAL,EMPTY,right,3,6,93.0,2,03:26,-1,2023,pass
2021090900_2008,2021090900,2008,TB,EMPTY,left,1,10,67.0,2,03:08,-2,2023,pass
2021090900_2032,2021090900,2032,TB,SHOTGUN,left,1,10,57.0,2,02:45,-2,2023,pass
2021090900_2088,2021090900,2088,DAL,SHOTGUN,right,1,10,35.0,2,02:38,-5,2023,pass
2021090900_2129,2021090900,2129,DAL,SHOTGUN,right,1,10,46.0,2,02:00,-5,2023,pass
2021090900_2169,2021090900,2169,DAL,SHOTGUN,right,1,10,72.0,2,01:54,-5,2023,pass
2021090900_2211,2021090900,2211,DAL,SHOTGUN,right,2,3,79.0,2,01:50,-5,2023,pass
2021090900_2233,2021090900,2233,DAL,SHOTGUN,right,3,3,79.0,2,01:43,-5,2023,pass
2021090900_2257,2021090900,2257,DAL,SHOTGUN,right,1,10,89.0,2,01:16,-5,2023,pass
2021090900_2279,2021090900,2279,DAL,SHOTGUN,right,2,10,89.0,2,01:11,-5,2023,pass
2021090900_2298,2021090900,2298,DAL,SHOTGUN,right,3,22,77.0,2,00:35,-5,2023,pass
2021090900_2330,2021090900,2330,DAL,EMPTY,right,3,32,67.0,2,00:28,-5,2023,pass
2021090900_2397,2021090900,2397,TB,SHOTGUN,left,1,10,60.0,2,00:15,5,2023,pass
2021090900_2419,2021090900,2419,TB,SHOTGUN,left,2,10,60.0,2,00:09,5,2023,pass
2021090900_2441,2021090900,2441,TB,SHOTGUN,left,3,10,60.0,2,00:06,5,2023,pass
2021090900_2530,2021090900,2530,DAL,SHOTGUN,right,2,10,35.0,3,14:57,-5,2023,pass
2021090900_2554,2021090900,2554,DAL,SHOTGUN,right,3,5,40.0,3,14:27,-5,2023,pass
2021090900_2632,2021090900,2632,DAL,SHOTGUN,right,3,4,62.0,3,12:44,-5,2023,pass
2021090900_2656,2021090900,2656,DAL,SHOTGUN,right,1,10,76.0,3,12:14,-5,2023,pass
2021090900_2678,2021090900,2678,DAL,SHOTGUN,right,2,10,76.0,3,12:10,-5,2023,pass
2021090900_2735,2021090900,2735,DAL,SHOTGUN,right,2,4,98.0,3,11:26,-5,2023,pass
2021090900_2780,2021090900,2780,DAL,SINGLEBACK,right,2,5,105.0,3,10:32,-5,2023,pass
2021090900_2871,2021090900,2871,TB,EMPTY,left,1,10,77.0,3,09:08,2,2023,pass
2021090900_2893,2021090900,2893,TB,EMPTY,left,2,10,77.0,3,09:04,2,2023,pass
2021090900_2915,2021090900,2915,TB,SHOTGUN,left,3,10,77.0,3,09:00,2,2023,pass
2021090900_3014,2021090900,3014,DAL,SINGLEBACK,right,1,10,35.0,3,08:44,-2,2023,pass
2021090900_3062,2021090900,3062,TB,SHOTGUN,left,1,10,45.0,3,08:31,2,2023,pass
2021090900_3110,2021090900,3110,TB,SHOTGUN,left,2,8,23.0,3,07:12,2,2023,pass
2021090900_3134,2021090900,3134,TB,EMPTY,left,3,6,21.0,3,06:28,2,2023,pass
2021090900_3216,2021090900,3216,DAL,EMPTY,right,1,10,48.0,3,05:59,-9,2023,pass
2021090900_3261,2021090900,3261,DAL,EMPTY,right,1,10,58.0,3,04:49,-9,2023,pass
2021090900_3306,2021090900,3306,DAL,SHOTGUN,right,2,10,68.0,3,03:26,-9,2023,pass
2021090900_3330,2021090900,3330,DAL,SINGLEBACK,right,3,1,77.0,3,02:43,-9,2023,pass
2021090900_3364,2021090900,3364,DAL,SHOTGUN,right,1,10,83.0,3,02:03,-9,2023,pass
2021090900_3406,2021090900,3406,DAL,SHOTGUN,right,3,4,89.0,3,00:39,-9,2023,pass
2021090900_3462,2021090900,3462,TB,SHOTGUN,left,1,10,85.0,3,00:33,2,2023,pass
2021090900_3588,2021090900,3588,TB,EMPTY,right,3,2,58.0,4,13:38,2,2023,pass
2021090900_3633,2021090900,3633,TB,SHOTGUN,right,2,10,63.0,4,12:11,2,2023,pass
2021090900_3655,2021090900,3655,TB,SHOTGUN,right,3,10,63.0,4,12:06,2,2023,pass
2021090900_3724,2021090900,3724,DAL,EMPTY,left,2,8,102.0,4,11:15,-2,2023,pass
2021090900_3746,2021090900,3746,DAL,SHOTGUN,left,3,8,102.0,4,11:10,-2,2023,pass
2021090900_3793,2021090900,3793,TB,SINGLEBACK,right,1,10,47.0,4,10:54,2,2023,pass
2021090900_3862,2021090900,3862,TB,SHOTGUN,right,2,4,69.0,4,08:56,2,2023,pass
2021090900_3909,2021090900,3909,TB,SHOTGUN,right,1,15,71.0,4,08:10,2,2023,pass
2021090900_3933,2021090900,3933,TB,SINGLEBACK,right,2,6,80.0,4,07:23,2,2023,pass
2021090900_3962,2021090900,3962,TB,SINGLEBACK,right,1,10,87.0,4,06:55,2,2023,pass
2021090900_4094,2021090900,4094,DAL,SHOTGUN,left,2,9,99.0,4,04:14,-2,2023,pass
2021090900_4141,2021090900,4141,DAL,SHOTGUN,left,3,1,91.0,4,03:36,-2,2023,pass
2021090900_4189,2021090900,4189,DAL,SHOTGUN,left,1,10,74.0,4,02:27,-2,2023,pass
2021090900_4211,2021090900,4211,DAL,SHOTGUN,left,2,10,74.0,4,02:23,-2,2023,pass
2021090900_4246,2021090900,4246,DAL,SHOTGUN,left,2,20,84.0,4,02:17,-2,2023,pass
2021090900_4287,2021090900,4287,DAL,SHOTGUN,left,3,11,75.0,4,02:00,-2,2023,pass
2021090900_4393,2021090900,4393,DAL,SHOTGUN,left,3,6,40.0,4,01:43,-2,2023,pass
2021090900_4428,2021090900,4428,DAL,SHOTGUN,left,3,16,50.0,4,01:37,-2,2023,pass
2021090900_4538,2021090900,4538,TB,SHOTGUN,right,2,2,43.0,4,01:18,-1,2023,pass
2021090900_4560,2021090900,4560,TB,SHOTGUN,right,3,2,43.0,4,01:13,-1,2023,pass
2021090900_4624,2021090900,4624,TB,SHOTGUN,right,1,15,42.0,4,00:55,-1,2023,pass
2021090900_4653,2021090900,4653,TB,SHOTGUN,right,2,9,48.0,4,00:49,-1,2023,pass
2021090900_4677,2021090900,4677,TB,SHOTGUN,right,1,10,68.0,4,00:30,-1,2023,pass
2021090900_4699,2021090900,4699,TB,SHOTGUN,right,2,10,68.0,4,00:24,-1,2023,pass
2021090900_4728,2021090900,4728,TB,SHOTGUN,right,1,10,92.0,4,00:18,-1,2023,pass
2021090900_4750,2021090900,4750,TB,EMPTY,right,2,10,92.0,4,00:14,-1,2023,pass
2021090900_4772,2021090900,4772,TB,EMPTY,right,3,10,92.0,4,00:10,-1,2023,pass
2021091200_56,2021091200,56,ATL,I_FORM,right,1,10,35.0,1,15:00,0,2023,pass
2021091200_122,2021091200,122,ATL,SINGLEBACK,right,2,6,67.0,1,13:45,0,2023,pass
2021091200_146,2021091200,146,ATL,EMPTY,right,3,5,68.0,1,13:08,0,2023,pass
2021091200_176,2021091200,176,ATL,SINGLEBACK,right,1,10,79.0,1,12:50,0,2023,pass
2021091200_231,2021091200,231,ATL,SHOTGUN,right,3,7,82.0,1,12:08,0,2023,pass
2021091200_303,2021091200,303,ATL,SINGLEBACK,right,2,7,97.0,1,11:03,0,2023,pass
2021091200_348,2021091200,348,ATL,SINGLEBACK,right,2,3,107.0,1,10:11,0,2023,pass
2021091200_370,2021091200,370,ATL,SHOTGUN,right,3,3,107.0,1,10:07,0,2023,pass
2021091200_605,2021091200,605,PHI,EMPTY,left,3,4,28.0,1,06:23,-3,2023,pass
2021091200_705,2021091200,705,ATL,I_FORM,right,1,10,42.0,1,05:51,-4,2023,pass
2021091200_750,2021091200,750,ATL,SINGLEBACK,right,1,10,56.0,1,04:38,-4,2023,pass
2021091200_821,2021091200,821,ATL,SHOTGUN,right,2,9,78.0,1,02:56,-4,2023,pass
2021091200_843,2021091200,843,ATL,SHOTGUN,right,3,9,78.0,1,02:51,-4,2023,pass
2021091200_864,2021091200,864,ATL,SINGLEBACK,right,4,1,86.0,1,02:30,-4,2023,pass
2021091200_966,2021091200,966,ATL,JUMBO,right,1,2,108.0,1,00:15,-4,2023,pass
2021091200_1023,2021091200,1023,ATL,SHOTGUN,right,1,12,98.0,1,00:09,-4,2023,pass
2021091200_1085,2021091200,1085,ATL,SHOTGUN,left,3,9,19.0,2,15:00,-4,2023,pass
2021091200_1153,2021091200,1153,PHI,SHOTGUN,right,1,10,27.0,2,14:43,1,2023,pass
2021091200_1182,2021091200,1182,PHI,SHOTGUN,right,1,10,40.0,2,14:11,1,2023,pass
2021091200_1206,2021091200,1206,PHI,SHOTGUN,right,1,10,68.0,2,13:45,1,2023,pass
2021091200_1249,2021091200,1249,PHI,SHOTGUN,right,3,4,74.0,2,12:59,1,2023,pass
2021091200_1271,2021091200,1271,PHI,SHOTGUN,right,4,4,74.0,2,12:55,1,2023,pass
2021091200_1326,2021091200,1326,ATL,I_FORM,left,1,20,84.0,2,12:25,-1,2023,pass
2021091200_1459,2021091200,1459,ATL,SINGLEBACK,left,2,7,59.0,2,09:50,-1,2023,pass
2021091200_1494,2021091200,1494,ATL,SHOTGUN,left,3,21,73.0,2,09:44,-1,2023,pass
2021091200_1558,2021091200,1558,PHI,SHOTGUN,right,2,4,35.0,2,08:20,1,2023,pass
2021091200_1582,2021091200,1582,PHI,EMPTY,right,1,10,43.0,2,07:39,1,2023,pass
2021091200_1606,2021091200,1606,PHI,EMPTY,right,2,6,47.0,2,07:17,1,2023,pass
2021091200_1630,2021091200,1630,PHI,EMPTY,right,1,10,66.0,2,06:44,1,2023,pass
2021091200_1732,2021091200,1732,PHI,SHOTGUN,right,1,20,68.0,2,05:35,1,2023,pass
2021091200_1792,2021091200,1792,PHI,SHOTGUN,right,2,28,60.0,2,04:38,1,2023,pass
2021091200_1991,2021091200,1991,PHI,SHOTGUN,right,1,10,48.0,2,01:44,1,2023,pass
2021091200_2020,2021091200,2020,PHI,SHOTGUN,right,2,1,57.0,2,01:37,1,2023,pass
2021091200_2063,2021091200,2063,PHI,SHOTGUN,right,1,10,60.0,2,01:14,1,2023,pass
2021091200_2121,2021091200,2121,PHI,SHOTGUN,right,2,11,59.0,2,01:08,1,2023,pass
2021091200_2145,2021091200,2145,PHI,SHOTGUN,right,3,5,65.0,2,01:02,1,2023,pass
2021091200_2214,2021091200,2214,PHI,SHOTGUN,right,2,6,80.0,2,00:48,1,2023,pass
2021091200_2275,2021091200,2275,PHI,SHOTGUN,right,1,15,84.0,2,00:39,1,2023,pass
2021091200_2321,2021091200,2321,PHI,SHOTGUN,right,3,5,94.0,2,00:22,1,2023,pass
2021091200_2399,2021091200,2399,PHI,SHOTGUN,right,1,9,101.0,2,00:09,1,2023,pass
2021091200_2631,2021091200,2631,PHI,SHOTGUN,left,3,5,62.0,3,13:35,9,2023,pass
2021091200_2675,2021091200,2675,ATL,SHOTGUN,right,1,10,24.0,3,12:37,-9,2023,pass
2021091200_2720,2021091200,2720,ATL,SHOTGUN,right,3,6,28.0,3,11:23,-9,2023,pass
2021091200_2767,2021091200,2767,PHI,SHOTGUN,left,1,10,79.0,3,11:04,9,2023,pass
2021091200_2906,2021091200,2906,PHI,SHOTGUN,left,2,7,35.0,3,07:41,9,2023,pass
2021091200_2935,2021091200,2935,PHI,SHOTGUN,left,3,2,30.0,3,07:07,9,2023,pass
2021091200_2978,2021091200,2978,ATL,SHOTGUN,right,1,10,29.0,3,06:57,-9,2023,pass
2021091200_3045,2021091200,3045,ATL,SHOTGUN,right,1,20,19.0,3,06:37,-9,2023,pass
2021091200_3110,2021091200,3110,ATL,SHOTGUN,right,3,5,34.0,3,05:28,-9,2023,pass
2021091200_3145,2021091200,3145,ATL,EMPTY,right,3,15,24.0,3,05:12,-9,2023,pass
2021091200_3383,2021091200,3383,ATL,EMPTY,right,2,10,35.0,3,00:47,-16,2023,pass
2021091200_3416,2021091200,3416,ATL,EMPTY,right,1,10,38.0,3,00:43,-16,2023,pass
2021091200_3480,2021091200,3480,ATL,SHOTGUN,left,2,11,71.0,4,15:00,-16,2023,pass
2021091200_3502,2021091200,3502,ATL,SHOTGUN,left,3,11,71.0,4,14:57,-16,2023,pass
2021091200_3599,2021091200,3599,PHI,SHOTGUN,right,3,9,29.0,4,13:18,16,2023,pass
2021091200_3659,2021091200,3659,PHI,SHOTGUN,right,2,10,48.0,4,12:47,16,2023,pass
2021091200_3728,2021091200,3728,ATL,SHOTGUN,left,1,10,102.0,4,11:31,-16,2023,pass
2021091200_3752,2021091200,3752,ATL,SHOTGUN,left,2,4,96.0,4,10:59,-16,2023,pass
